"Statistic Label","Year","Domestic","Reason for Journey","UNIT","VALUE"
"Estimated Expenditure by Irish Residents","2017","Domestic","Education and training","Euro Million","73.3"
"Estimated Expenditure by Irish Residents","2017","Domestic","Work/looking for work","Euro Million","19.3"
"Estimated Expenditure by Irish Residents","2017","Domestic","Sporting events","Euro Million","62.1"
"Estimated Expenditure by Irish Residents","2017","Domestic","Other reasons","Euro Million","118.7"
"Estimated Expenditure by Irish Residents","2017","Outbound","All reasons for journey","Euro Million","6890.7"
"Estimated Expenditure by Irish Residents","2017","Outbound","Holiday","Euro Million","4337.6"
"Estimated Expenditure by Irish Residents","2017","Outbound","Business","Euro Million","913.8"
"Estimated Expenditure by Irish Residents","2017","Outbound","Visiting friends/relatives","Euro Million","910.8"
"Estimated Expenditure by Irish Residents","2017","Outbound","Education and training","Euro Million","165.2"
"Estimated Expenditure by Irish Residents","2017","Outbound","Work/looking for work","Euro Million","175.7"
"Estimated Expenditure by Irish Residents","2017","Outbound","Sporting events","Euro Million","185.2"
"Estimated Expenditure by Irish Residents","2017","Outbound","Other reasons","Euro Million","202.4"
"Estimated Expenditure by Irish Residents","2018","Domestic","All reasons for journey","Euro Million","2006"
"Estimated Expenditure by Irish Residents","2018","Domestic","Holiday","Euro Million","1232.6"
"Estimated Expenditure by Irish Residents","2018","Domestic","Business","Euro Million","116.9"
"Estimated Expenditure by Irish Residents","2018","Domestic","Visiting friends/relatives","Euro Million","352.9"
"Estimated Expenditure by Irish Residents","2018","Domestic","Education and training","Euro Million","56.7"
"Estimated Expenditure by Irish Residents","2018","Domestic","Work/looking for work","Euro Million","30.6"
"Estimated Expenditure by Irish Residents","2018","Domestic","Sporting events","Euro Million","61.6"
"Estimated Expenditure by Irish Residents","2018","Domestic","Other reasons","Euro Million","154.7"
"Estimated Expenditure by Irish Residents","2018","Outbound","All reasons for journey","Euro Million","7434.6"
"Estimated Expenditure by Irish Residents","2018","Outbound","Holiday","Euro Million","4892.9"
"Estimated Expenditure by Irish Residents","2018","Outbound","Business","Euro Million","1055.6"
"Estimated Expenditure by Irish Residents","2018","Outbound","Visiting friends/relatives","Euro Million","963.6"
"Estimated Expenditure by Irish Residents","2018","Outbound","Education and training","Euro Million","103.8"
"Estimated Expenditure by Irish Residents","2018","Outbound","Work/looking for work","Euro Million","85"
"Estimated Expenditure by Irish Residents","2018","Outbound","Sporting events","Euro Million","173.4"
"Estimated Expenditure by Irish Residents","2018","Outbound","Other reasons","Euro Million","160.3"
"Estimated Expenditure by Irish Residents","2019","Domestic","All reasons for journey","Euro Million","2146.6"
"Estimated Expenditure by Irish Residents","2019","Domestic","Holiday","Euro Million","1335.9"
"Estimated Expenditure by Irish Residents","2019","Domestic","Business","Euro Million","124.9"
"Estimated Expenditure by Irish Residents","2019","Domestic","Visiting friends/relatives","Euro Million","371.8"
"Estimated Expenditure by Irish Residents","2019","Domestic","Education and training","Euro Million","76.4"
"Estimated Expenditure by Irish Residents","2019","Domestic","Work/looking for work","Euro Million","26.9"
"Estimated Expenditure by Irish Residents","2019","Domestic","Sporting events","Euro Million","74.4"
"Estimated Expenditure by Irish Residents","2019","Domestic","Other reasons","Euro Million","136.3"
"Estimated Expenditure by Irish Residents","2019","Outbound","All reasons for journey","Euro Million","8252.6"
"Estimated Expenditure by Irish Residents","2019","Outbound","Holiday","Euro Million","5343"
"Estimated Expenditure by Irish Residents","2019","Outbound","Business","Euro Million","1087.6"
"Estimated Expenditure by Irish Residents","2019","Outbound","Visiting friends/relatives","Euro Million","1028.5"
"Estimated Expenditure by Irish Residents","2019","Outbound","Education and training","Euro Million","115"
"Estimated Expenditure by Irish Residents","2019","Outbound","Work/looking for work","Euro Million","143.8"
"Estimated Expenditure by Irish Residents","2019","Outbound","Sporting events","Euro Million","276"
"Estimated Expenditure by Irish Residents","2019","Outbound","Other reasons","Euro Million","258.8"
"Estimated Expenditure by Irish Residents","2020","Domestic","All reasons for journey","Euro Million","1554"
"Estimated Expenditure by Irish Residents","2020","Domestic","Holiday","Euro Million","1128"
"Estimated Expenditure by Irish Residents","2020","Domestic","Business","Euro Million","62"
"Estimated Expenditure by Irish Residents","2020","Domestic","Visiting friends/relatives","Euro Million","230"
"Estimated Expenditure by Irish Residents","2020","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2020","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2020","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2020","Domestic","Other reasons","Euro Million","133"
"Estimated Expenditure by Irish Residents","2020","Outbound","All reasons for journey","Euro Million","2122"
"Estimated Expenditure by Irish Residents","2020","Outbound","Holiday","Euro Million",""
"Estimated Expenditure by Irish Residents","2020","Outbound","Business","Euro Million",""
"Estimated Expenditure by Irish Residents","2020","Outbound","Visiting friends/relatives","Euro Million",""
"Estimated Expenditure by Irish Residents","2020","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2020","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2020","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2020","Outbound","Other reasons","Euro Million",""
"Estimated Expenditure by Irish Residents","2021","Domestic","All reasons for journey","Euro Million","1291"
"Estimated Expenditure by Irish Residents","2021","Domestic","Holiday","Euro Million","998"
"Estimated Expenditure by Irish Residents","2021","Domestic","Business","Euro Million","41"
"Estimated Expenditure by Irish Residents","2021","Domestic","Visiting friends/relatives","Euro Million","176"
"Estimated Expenditure by Irish Residents","2021","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2021","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2021","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2021","Domestic","Other reasons","Euro Million","75"
"Estimated Expenditure by Irish Residents","2021","Outbound","All reasons for journey","Euro Million","1958"
"Estimated Expenditure by Irish Residents","2021","Outbound","Holiday","Euro Million","998"
"Estimated Expenditure by Irish Residents","2021","Outbound","Business","Euro Million","177"
"Estimated Expenditure by Irish Residents","2021","Outbound","Visiting friends/relatives","Euro Million","519"
"Estimated Expenditure by Irish Residents","2021","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2021","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2021","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2021","Outbound","Other reasons","Euro Million","264"
"Estimated Expenditure by Irish Residents","2022","Domestic","All reasons for journey","Euro Million","2930"
"Estimated Expenditure by Irish Residents","2022","Domestic","Holiday","Euro Million","1859"
"Estimated Expenditure by Irish Residents","2022","Domestic","Business","Euro Million","172"
"Estimated Expenditure by Irish Residents","2022","Domestic","Visiting friends/relatives","Euro Million","504"
"Estimated Expenditure by Irish Residents","2022","Domestic","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2022","Domestic","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2022","Domestic","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2022","Domestic","Other reasons","Euro Million","396"
"Estimated Expenditure by Irish Residents","2022","Outbound","All reasons for journey","Euro Million","8518"
"Estimated Expenditure by Irish Residents","2022","Outbound","Holiday","Euro Million","5835"
"Estimated Expenditure by Irish Residents","2022","Outbound","Business","Euro Million","841"
"Estimated Expenditure by Irish Residents","2022","Outbound","Visiting friends/relatives","Euro Million","1473"
"Estimated Expenditure by Irish Residents","2022","Outbound","Education and training","Euro Million",""
"Estimated Expenditure by Irish Residents","2022","Outbound","Work/looking for work","Euro Million",""
"Estimated Expenditure by Irish Residents","2022","Outbound","Sporting events","Euro Million",""
"Estimated Expenditure by Irish Residents","2022","Outbound","Other reasons","Euro Million","369"
